Date,AAPL,MSFT,SPY,TSLA
2019-04-08,47.72468566894531,112.4347152709961,260.8627014160156,18.213333129882812
2019-04-09,47.581573486328125,111.8253402709961,259.525634765625,18.15399932861328
2019-04-10,47.848697662353516,112.67847442626953,260.4109191894531,18.40399932861328
2019-04-11,47.45039749145508,112.80972290039062,260.3386535644531,17.89466667175293
2019-04-12,47.431312561035156,113.39097595214844,262.10009765625,17.84666633605957
2019-04-15,47.517173767089844,113.4847412109375,261.9284973144531,17.7586669921875
2019-04-16,47.521942138671875,113.22222900390625,262.10009765625,18.224000930786133
2019-04-17,48.44734191894531,114.15974426269531,261.45880126953125,18.082000732421875
2019-04-18,48.6214599609375,115.65973663330078,261.9736633300781,18.21733283996582
2019-04-22,48.78125,116.02536010742188,262.1994934082031,17.516666412353516
2019-04-23,49.484840393066406,117.60037231445312,264.5570983886719,17.593332290649414
2019-04-24,49.40850830078125,117.1972427368164,263.9698791503906,17.243999481201172
2019-04-25,48.96012878417969,121.07849884033203,263.8072814941406,16.5086669921875
2019-04-26,48.72639083862305,121.7722396850586,265.035888671875,15.675999641418457
2019-04-29,48.80033493041992,121.6597671508789,265.4513244628906,16.097999572753906
2019-04-30,47.86062240600586,122.43788146972656,265.5867919921875,15.912667274475098
2019-05-01,50.20988082885742,119.88784790039062,263.59051513671875,15.600666999816895
2019-05-02,49.88312530517578,118.32228088378906,263.0214538574219,16.273332595825195
2019-05-03,50.50325012207031,120.84410858154297,265.5958557128906,17.00200080871582
2019-05-06,49.72333526611328,120.14097595214844,264.5028381347656,17.022666931152344
2019-05-07,48.382957458496094,117.67536926269531,260.08575439453125,16.470666885375977
2019-05-08,48.39248275756836,117.66596984863281,259.72442626953125,16.32266616821289
2019-05-09,47.8725471496582,117.65660858154297,258.9385681152344,16.131999969482422
2019-05-10,47.2093391418457,119.18473815917969,260.23931884765625,15.968000411987305
2019-05-13,44.46556854248047,115.64098358154297,253.69940185546875,15.133999824523926
2019-05-14,45.16946792602539,116.93475341796875,255.99391174316406,15.487333297729492
2019-05-15,45.71056365966797,118.5814437866211,257.4932861328125,15.463333129882812
2019-05-16,45.50945281982422,121.31966400146484,259.8780212402344,15.222000122070312
2019-05-17,45.25087356567383,120.51044464111328,258.1978454589844,14.0686674118042
2019-05-20,43.835880279541016,118.76963806152344,256.4906311035156,13.690667152404785
2019-05-21,44.67625427246094,119.40949249267578,258.8030700683594,13.67199993133545
2019-05-22,43.76166534423828,120.13404846191406,258.00823974609375,12.84866714477539
2019-05-23,43.01466751098633,118.73201751708984,254.8557586669922,13.03266716003418
2019-05-24,42.84946823120117,118.78844451904297,255.4337921142578,12.708666801452637
2019-05-28,42.67229461669922,118.7131576538086,253.05810546875,12.579999923706055
2019-05-29,42.468788146972656,117.5652084350586,251.35989379882812,12.657333374023438
2019-05-30,42.68904495239258,118.30855560302734,252.04649353027344,12.54800033569336
2019-05-31,41.91571807861328,116.37955474853516,248.64999389648438,12.343999862670898
2019-06-03,41.4919319152832,112.7662124633789,248.01771545410156,11.9313325881958
2019-06-04,43.00986862182617,115.89025115966797,253.4012908935547,12.90666675567627
2019-06-05,43.704193115234375,118.40266418457031,255.59637451171875,13.105999946594238
2019-06-06,44.34585189819336,120.27518463134766,257.2584533691406,13.729999542236328
2019-06-07,45.526214599609375,123.64386749267578,259.8328857421875,13.633333206176758
2019-06-10,46.108009338378906,124.77304077148438,261.0251770019531,14.192000389099121
2019-06-11,46.64192199707031,124.30257415771484,260.9619140625,14.473333358764648
2019-06-12,46.49347686767578,123.72858428955078,260.5013427734375,13.950667381286621
2019-06-13,46.48390579223633,124.50959014892578,261.57623291015625,14.260666847229004
2019-06-14,46.146324157714844,124.63189697265625,261.28717041015625,14.32800006866455
2019-06-17,46.421653747558594,125.00831604003906,261.38641357421875,15.001999855041504
2019-06-18,47.51341247558594,127.18191528320312,264.1234436035156,14.982666969299316
2019-06-19,47.37454605102539,127.6806640625,264.71966552734375,15.095333099365234
2019-06-20,47.75524139404297,128.8662567138672,267.2489013671875,14.641332626342773
2019-06-21,47.592437744140625,128.88511657714844,266.8604431152344,14.790666580200195
2019-06-24,47.5445442199707,129.6472625732422,266.5336608886719,14.909333229064941
2019-06-25,46.82387161254883,125.55404663085938,263.9195556640625,14.650667190551758
2019-06-26,47.836639404296875,126.02452087402344,263.6562805175781,14.618000030517578
2019-06-27,47.8222770690918,126.23152160644531,264.59124755859375,14.855999946594238
2019-06-28,47.38652038574219,126.05277252197266,265.95269775390625,14.897333145141602
2019-07-01,48.2556266784668,127.67123413085938,268.36724853515625,15.14466667175293
2019-07-02,48.53813934326172,128.51808166503906,269.06610107421875,14.970000267028809
2019-07-03,48.940364837646484,129.34620666503906,271.2173156738281,15.65999984741211
2019-07-05,48.897274017333984,128.96975708007812,270.9087219238281,15.539999961853027
2019-07-08,47.88930892944336,128.87570190429688,269.4201354980469,15.355999946594238
